RIR	1	2	3	4	5	6	7	8	9	10
0	100%	96%	92%	89%	86%	84%	81%	79%	76%	74%
0,5	98%	94%	91%	87%	84%	82%	79%	77%	74%	72%
1	96%	92%	89%	85%	82%	80%	77%	75%	72%	70%
1,5	94%	90%	87%	83%	80%	78%	75%	73%	70%	68%
2	92%	88%	85%	81%	78%	76%	73%	71%	68%	66%
2,5	90%	86%	83%	79%	76%	74%	71%	69%	66%	64%
3	88%	84%	81%	77%	74%	72%	69%	67%	64%	62%
3,5	86%	82%	79%	75%	72%	70%	67%	65%	62%	60%
4	84%	80%	77%	73%	70%	68%	65%	63%	60%	58%
4,5	82%	78%	75%	71%	68%	66%	63%	61%	58%	56%
5	80%	76%	73%	69%	66%	64%	61%	59%	56%	54%
5,5	78%	74%	71%	67%	64%	62%	59%	57%	54%	52%
6	76%	72%	69%	65%	62%	60%	57%	55%	52%	50%
6,5	74%	70%	67%	63%	60%	58%	55%	53%	50%	48%
7	72%	68%	65%	61%	58%	56%	53%	51%	48%	46%
7,5	70%	66%	63%	59%	56%	54%	51%	49%	46%	44%
8	68%	64%	61%	57%	54%	52%	49%	47%	44%	42%
8,5	66%	62%	59%	55%	52%	50%	47%	45%	42%	40%
9	64%	60%	57%	53%	50%	48%	45%	43%	40%	38%
9,5	62%	58%	55%	51%	48%	46%	43%	41%	38%	36%
10	60%	56%	53%	49%	46%	44%	41%	39%	36%	34%
